area label,area code,Cumulative 1st dose,Cumulative 2nd dose,Cumulative confirmed cases,IMD: Overall - extent (%),IMD: Barriers to Housing and Services - proportion of LSOAs in most deprived 10% nationally,IMD: Crime - proportion of LSOAs in most deprived 10% nationally,IMD: Education Skills and Training Deprivation - proportion of LSOAs in most deprived 10% nationally,IMD: Employment - proportion of LSOAs in most deprived 10% nationally,IMD: Health Deprivation and Disability - proportion of LSOAs in most deprived 10% nationally,IMD: Income Deprivation - proportion of LSOAs in most deprived 10% nationally,IMD: Living Environment Deprivation - proportion of LSOAs in most deprived 10% nationally,Total population
Kingston upon Thames,E09000021,116981.00,92265.00,15231.00,1.20,3.06,0.00,0.00,0.00,0.00,1.02,2.04,179142.00
Kirklees,E08000034,287791.00,237997.00,45162.00,29.40,0.39,17.76,14.67,9.27,5.41,10.42,20.46,441290.00
Knowsley,E08000011,98686.00,80995.00,21695.00,59.90,0.00,4.08,42.86,50.00,61.22,46.94,5.10,152452.00
Lambeth,E09000022,210379.00,144903.00,33005.00,19.50,3.37,13.48,0.00,1.12,2.25,4.49,44.38,321813.00
Lancashire,E10000017,855910.00,720780.00,138235.00,24.50,1.46,10.85,10.05,14.55,18.39,12.57,21.96,1227076.00
Lancaster,E07000121,103873.00,87257.00,13329.00,23.20,1.12,14.61,10.11,14.61,21.35,11.24,31.46,148119.00
Leeds,E08000035,532156.00,404919.00,89524.00,32.80,0.21,34.65,19.71,17.43,17.43,18.05,24.69,798786.00
Leicester,E06000016,221067.00,166007.00,44325.00,37.10,0.00,22.40,29.69,15.10,20.83,25.52,8.33,354036.00
Leicestershire,E10000018,510563.00,422181.00,58837.00,2.50,4.55,1.01,3.28,1.26,0.51,1.01,1.52,713085.00
Lewes,E07000063,75088.00,63157.00,6373.00,5.70,9.68,0.00,4.84,0.00,0.00,0.00,6.45,103525.00
Lewisham,E09000023,177749.00,129660.00,27683.00,24.60,38.46,6.51,0.00,2.96,0.59,5.92,21.30,305309.00
Lichfield,E07000194,81596.00,67541.00,8667.00,3.50,5.17,0.00,3.45,1.72,0.00,0.00,0.00,105637.00
Lincoln,E07000138,66942.00,48180.00,9020.00,29.20,0.00,1.75,22.81,22.81,28.07,14.04,1.75,100049.00
Lincolnshire,E10000019,557452.00,461764.00,52761.00,14.60,13.33,1.67,13.10,10.24,8.33,6.43,6.19,766333.00
Lisburn and Castlereagh,N09000007,,,9697.00,,,,,,,,,146452.00
Liverpool,E08000012,306043.00,239035.00,63151.00,62.10,0.34,24.16,24.83,47.99,65.77,44.63,45.97,500474.00
Luton,E06000032,123477.00,88737.00,24923.00,27.10,13.22,4.96,1.65,2.48,4.96,7.44,1.65,213528.00
Maidstone,E07000110,119639.00,95739.00,15809.00,8.20,14.74,4.21,6.32,1.05,0.00,2.11,13.68,173132.00
Maldon,E07000074,49406.00,40545.00,4736.00,0.80,20.00,0.00,0.00,0.00,0.00,0.00,2.50,65401.00
Malvern Hills,E07000235,61198.00,52683.00,3868.00,5.60,24.44,0.00,4.44,4.44,0.00,4.44,24.44,79445.00
Manchester,E08000003,326217.00,235258.00,74832.00,60.00,3.19,61.35,14.54,33.69,52.13,39.36,19.15,555741.00
Mansfield,E07000174,75686.00,62946.00,10263.00,37.10,0.00,10.45,31.34,17.91,22.39,13.43,0.00,109351.00
Medway,E06000035,181684.00,142784.00,30371.00,23.90,2.45,22.70,11.04,7.98,4.29,8.59,14.72,279142.00
Melton,E07000133,38352.00,31599.00,3744.00,0.90,20.00,0.00,3.33,0.00,0.00,0.00,6.67,51394.00
Mendip,E07000187,84858.00,71380.00,4921.00,3.00,12.12,1.52,0.00,3.03,1.52,3.03,6.06,116288.00
Merthyr Tydfil,W06000024,,,7080.00,,0,0,0,0,0,0,0,60424.00
