,region name,IMD: Overall - extent (%),IMD: Barriers to Housing and Services,IMD: Crime,IMD: Education Skills and Training Deprivation,IMD: Employment,IMD: Health Deprivation and Disability,IMD: Income Deprivation,IMD: Living Environment Deprivation,mean age,median age,white british,multiple ethnic group,Black British,Other Ethnic Group,Asian British,hesitancy measure
Horsham,South East,0.2,16.05,0.0,0.0,0.0,0.0,0.0,8.64,42.1,44,0.8106899639845114,0.01142960228334332,0.004194290353132187,0.0014754108922692335,0.016654747408366675,0.6948019625968854
Hounslow,London,8.9,42.25,8.45,0.0,0.7,0.0,1.41,5.63,35.2,33,0.37041079381862313,0.029414690575873075,0.047787147806759495,0.02567425837973345,0.24800827670102976,0.5109553073742975
Huntingdonshire,East of England,1.8,10.48,0.0,6.67,0.0,0.0,0.0,0.95,39.9,41,0.8286243894379215,0.013063188657228126,0.008478164338011298,0.002349308632031145,0.02163429267738571,0.6646799689038609
Hyndburn,North West,48.0,0.0,17.31,17.31,30.77,44.23,21.15,46.15,38.7,39,0.816630464922821,0.008041408632960533,0.0012246972918014605,0.0016984009612718365,0.10406460855901654,0.5788705473501303
Ipswich,East of England,31.3,1.18,16.47,23.53,12.94,8.24,7.06,9.41,38.0,36,0.7655868247217447,0.0311284046692607,0.020011117287381877,0.007342580503380431,0.03710071486743281,0.5724321799711983
Isle of Wight,South East,16.5,4.49,1.12,5.62,6.74,0.0,3.37,19.1,44.4,46,0.907833167905686,0.011539422421185542,0.00204590110802763,0.0013099168810473934,0.01022275339126677,0.7032441068551389
Islington,London,27.1,3.25,15.45,0.0,7.32,0.81,10.57,17.89,34.5,31,0.4999216379101543,0.04751235983871657,0.09365694501830824,0.024730363172667302,0.06779745536922792,0.5036278810169516
Kensington and Chelsea,London,19.9,43.69,9.71,0.0,10.68,0.0,16.5,40.78,37.8,36,0.5553553792018423,0.04459796812729231,0.051283196601303295,0.05683684965432356,0.07871893751023629,0.4725047751302194
King's Lynn and West Norfolk,East of England,17.0,15.73,1.12,13.48,5.62,5.62,5.62,11.24,43.5,45,0.8842725571224728,0.008474942707657716,0.003465337360784241,0.0015195596983118061,0.011507885032336972,0.6843868219502077
Kingston upon Thames,London,1.2,3.06,0.0,0.0,0.0,0.0,1.02,2.04,37.0,35,0.5968853970417285,0.03141159257626167,0.02014771315188199,0.02204172846434441,0.13103780013628893,0.5661418829762588
